<OOV> 1.0	OOV
<SIL> 1.0	SIL
ا 1.0	A
اُٹھاہیں 1.0	U TTH AA H AYN
اُس 1.0	U S
اُسی 1.0	U S II
اِٹ 1.0	A I TT
اِس 1.0	A I S
اِسپائیسی 1.0	A I S P AA II S II
اِسپرائیٹ 1.0	A I S P A R AA II TT
اِستشنا 1.0	A I S TD A SH N AA
اِستعمال 1.0	A I S TD AE M AA L
اِسٹارٹ 1.0	A I S TT AA R TT
اِسٹرابیری 1.0	A I S TT A R AA B II R II
اِسٹرکلی 1.0	A I S TT A R I K L II
اِسٹریٹ 1.0	A I S TT A R AY TT
اِسٹل 1.0	A I S TT A L
اِسٹیمیٹ 1.0	A I S TT II M II TT
اِسٹینڈرڈ 1.0	A I S TT AE N DD A R DD
اِسکریمبل 1.0	A I S K A R II M B A L
اِسلام 1.0	A I S L AA M
اِسموتھی 1.0	A I S M OO TDH II
اِسموتھیاں 1.0	A I S M OO TDH TDH I J AAN
اِسمول 1.0	A I S M OO L
اِسمیل 1.0	A I S M II L
اِسنیک 1.0	A I S N II K
اِسے 1.0	A I S AE
اِسی 1.0	A I S II
اِن 1.0	A I A N
اِنتہائی 1.0	A I N TD I H AA II
اِندازہ 1.0	A I N DD AA Z AA
اِندر 1.0	A I A N DD A R
اِنسٹرکیشن 1.0	A I I N S TT A R A K AY SH A N
اِنشااللہ 1.0	A I N SH AA A L L AA
اِنفارم 1.0	A I N F AA R M
اِنفورمیشن 1.0	A I N F OO R M AY SH A N
اِنکی 1.0	A I N K II
اِنہوں 1.0	A I N H OON
ااچھا 1.0	A TSHH AA
اب 1.0	A B
ابَو 1.0	A B I UU
ابّا 1.0	A B AA
ابّو 1.0	A B UU V UU
اباؤٹ 1.0	A B AA UU TT
ابرار 1.0	A B R AA R
ابراہیم 1.0	I B R AA H II M
ابھے 1.0	U BH AY
ابھی 1.0	A BH II
ابو 1.0	A B UU
ابوبکر 1.0	A B UU B A K R
ابوو 1.0	A B UU V
ابے 1.0	A B AY
ابی 1.0	A B II
ابیحہ 1.0	A B II H AA
اپ 1.0	A P
اپارٹمنٹ 1.0	A P AA R TT M I N TT
اپڈیٹ 1.0	A P DD AY TT
اپڈیٹس 1.0	A P DD II TT S
اپر 1.0	A P R
اپروول 1.0	A P R OO V A L
اپریل 1.0	A P R II L
اپسے 1.0	A P I S AY
اپکا 1.0	A P K AA
اپلیکیشن 1.0	A P L II K AY SH A N
اپنا 1.0	A P N AA
اپنے 1.0	A P N AY
اپنی 1.0	A P N II
اپوزٹ 1.0	A P OO Z A TT
اپوزیٹ 1.0	A P OO Z II TT
اپولوجائز 1.0	A P OO L OO DZZ AA I Z
اپوینٹنگ 1.0	A P A V AY N TT I NG
ات 1.0	I TD
اتا 1.0	U TD AA
اتحاد 1.0	I TD TD I H AA DD
اترنا 1.0	U TD A R N AA
اتلیسٹ 1.0	A TD L II S TT
اتنا 1.0	I TD N AA
اتنے 1.0	I TD N AY
اتنی 1.0	I TD N II
اتھارہ 1.0	A TDH AA R AA
اتھر 1.0	A TDH A R
اتے 1.0	I TD AY
اٹ 1.0	A TT
اٹس 1.0	A TT S
اٹکی 1.0	A TT K II
اٹھ 1.0	U TTH
اٹھا 1.0	U TTH AA
اٹھاتے 1.0	U TTH AA TD AY
اٹھارٹی 1.0	A TTH TTH AA R TT II
اٹھارہ 1.0	A TTH TTH AA R AA
اٹھانا 1.0	U TTH AA N AA
اٹھائے 1.0	U TTH AA AE
اٹھائیے 1.0	U TTH AA II AY
اٹھوایں 1.0	U TTH V AA AYN
اٹینڈ 1.0	A TT AE N DD
اجاز 1.0	A DZZ AA Z
اجمل 1.0	A DZZ M A L
اچار 1.0	A TSH AA R
اچھا 1.0	A TSHH TSHH AA
اچھے 1.0	A TSH TSHH AE
اچھی 1.0	A TSH TSHH II
احتشام 1.0	I H TD I SH AA M
احد 1.0	A H H I DD
احساس 1.0	I H S AA S
احسان 1.0	A H S AA N
احسن 1.0	A H S A N
احمد 1.0	A H M A DD
اختر 1.0	A X TD A R
ادر 1.0	I DD R
ادریس 1.0	I DD R AE S
ادھ 1.0	U DDH
ادھر 1.0	U DDH A R
اڈوائس 1.0	A DD V AA I S
اراؤنڈ 1.0	A R AA UU N DD
ارجنٹ 1.0	A R DZZ A N TT
ارجنٹلی 1.0	A R DZZ A N TT L II
ارجینٹ 1.0	A R DZZ AE N TT
ارحم 1.0	A R H A M
ارحمان 1.0	A R A H M AA N
اردر 1.0	A R DD A R
اردو 1.0	A R DD UU
اردے 1.0	A R DD AY
ارسلان 1.0	A R S A L AA N
ارسلہ 1.0	A R S A L AA
ارشاد 1.0	I R SH AA DD
ارشد 1.0	A R SH A DD
ارلی 1.0	A R L II
ارے 1.0	A R AY
اریب 1.0	A R II B
اریس 1.0	A R AE S
ارینج 1.0	A R AE N DZZ
اڑاونڈ 1.0	U RR AA V I N DD
اڑتالیس 1.0	A RR TD AA L II S
از 1.0	A Z
ازل 1.0	A Z A L
اسامہ 1.0	A S AA M AA
اسپائس 1.0	I S P AA I S
اسپائسی 1.0	I S P AA I S II
اسپائیسی 1.0	I S P AA II S II
اسپرائٹ 1.0	I S P A R AA I TT
اسپرائیٹ 1.0	I S P A R AA II TT
اسپرنکل 1.0	I S P A R N I K A L
اسپرنگ 1.0	I S P R I NG
اسپریڈ 1.0	I S P A R AE DD
اسپے 1.0	I S P AY
اسپیشل 1.0	I S P AE SH A L
اسپیشلی 1.0	I S P AE SH A L II
اسپیکنگ 1.0	I S P AE K I NG
استشنا 1.0	I S TD I SH N AA
اسٹاِنس 1.0	I S TT AA I N S
اسٹار 1.0	I S TT AA R
اسٹارٹ 1.0	I S TT AA R TT
اسٹارٹنگ 1.0	I S TT AA R TT I NG
اسٹاف 1.0	I S TT AA F
اسٹرابری 1.0	I S TT A R AA B A R II
اسٹرابیری 1.0	I S TT A R AA B II R II
اسٹرٹ 1.0	I S TT A R TT
اسٹرکٹلی 1.0	I S TT A R A K TT L II
اسٹریٹ 1.0	I S TT A R AY TT
اسٹل 1.0	I S TT A L
اسٹوپڈ 1.0	I S TT OO P A DD
اسٹور 1.0	I S TT OO R
اسٹے 1.0	I S TT AY
اسٹیٹ 1.0	I S TT AY TT
اسٹینڈرڈ 1.0	I S TT AE N DD A R DD
اسد 1.0	A S DD
اسکریمبل 1.0	I S K A R II M B A L
اسکل 1.0	I S K A L
اسکو 1.0	I S K OO
اسکوائر 1.0	I S K U V AA I R
اسکول 1.0	I S K UU L
اسکی 1.0	I S K II
اسلام 1.0	I S L AA M
اسلم 1.0	I S L A M
اسما 1.0	A S M AA
اسموتھی 1.0	I S M OO TDH II
اسمودی 1.0	I S M UU DD II
اسمول 1.0	I S M OO L
اسے 1.0	U S AE
اسی 1.0	A S II
اشنا 1.0	A SH N AA
اشو 1.0	I SH OO
اصل 1.0	A S L
اطمنان 1.0	I TD M N AA N
اعجاز 1.0	AY DZZ AA Z
اعلی 1.0	AA L II
اف 1.0	A F
افشا 1.0	I F SH AA
افشاں 1.0	A F SH AAN
افضل 1.0	A F Z A L
اقبال 1.0	I Q B AA L
اقثر 1.0	A Q S S U R
اقرا 1.0	I Q R AA
اقصیٰ 1.0	A Q S II
اک 1.0	A K
اکاؤنٹ 1.0	A K AA UU N TT
اکٹیو 1.0	I K TT I J UU
اکثر 1.0	A K S A R
اکرام 1.0	A K R AA M
اکسیڈنٹ 1.0	U K S II DD A N TT
اکوڑدنگ 1.0	A K V RR DD NG
اکے 1.0	A K AY
اگر 1.0	A G A R
اگلی 1.0	A G L II
اگو 1.0	A G OO
اگین 1.0	A G II N
اگینسٹ 1.0	A G II N I S TT
ال 1.0	A L
الا 1.0	A L AA
الامن 1.0	A L AA M A N
الاؤ 1.0	A L AA OO
الٹرنیٹ 1.0	AA L T R N AY T
الحمدللہ 1.0	A L H A M DD L L AA
الرائٹ 1.0	A L A R AA I TT
العابدین 1.0	A L AA B I DD II N
الفلاح 1.0	A L F A L AA
الگ 1.0	A L A G
اللہ 1.0	A L L AA
الہ 1.0	A L AA
الوقت 1.0	A L V A Q A TD
الے 1.0	A L AY
الی 1.0	A L II
الیاس 1.0	I L J AA S
الیپینو 1.0	A L AY P II N OO
الینا 1.0	A L II N AA
الیون 1.0	A L AY V A N
ام 1.0	A M
امان 1.0	A M AA N
امانت 1.0	A M AA N A TD
اماؤ 1.0	A M AA OO
اماؤنٹ 1.0	AA M AA A OO N T
امپروو 1.0	I M P A R UU
امپلوائے 1.0	I M P A L V AA AY
امرین 1.0	A M R II N
امل 1.0	A M A L
